threshold,precision,recall,f1,auc,accuracy
0.0,0.47,1.0,0.64,0.9,0.47
0.06,0.62,0.98,0.76,0.9,0.7
0.11,0.65,0.96,0.78,0.9,0.74
0.17,0.7,0.95,0.81,0.9,0.78
0.22,0.72,0.93,0.81,0.9,0.8
0.28,0.74,0.92,0.82,0.9,0.81
0.33,0.75,0.9,0.82,0.9,0.81
0.39,0.76,0.89,0.82,0.9,0.81
0.44,0.78,0.87,0.82,0.9,0.82
0.5,0.8,0.85,0.83,0.9,0.83
0.56,0.83,0.82,0.83,0.9,0.84
0.61,0.84,0.78,0.81,0.9,0.82
0.67,0.86,0.7,0.77,0.9,0.81
0.72,0.87,0.63,0.73,0.9,0.78
0.78,0.89,0.54,0.67,0.9,0.75
0.83,0.89,0.43,0.58,0.9,0.7
0.89,0.9,0.3,0.45,0.9,0.65
0.94,0.92,0.14,0.24,0.9,0.59
1.0,0.0,0.0,0.0,0.9,0.53
