threshold,precision,recall,f1,auc,accuracy
0.0,0.47,1.0,0.64,0.92,0.47
0.06,0.6,0.99,0.75,0.92,0.68
0.11,0.67,0.98,0.79,0.92,0.76
0.17,0.71,0.97,0.82,0.92,0.8
0.22,0.73,0.96,0.83,0.92,0.81
0.28,0.75,0.95,0.84,0.92,0.83
0.33,0.77,0.93,0.84,0.92,0.84
0.39,0.79,0.9,0.84,0.92,0.84
0.44,0.81,0.88,0.84,0.92,0.84
0.5,0.82,0.86,0.84,0.92,0.84
0.56,0.83,0.83,0.83,0.92,0.84
0.61,0.84,0.79,0.81,0.92,0.83
0.67,0.86,0.74,0.79,0.92,0.82
0.72,0.88,0.68,0.76,0.92,0.8
0.78,0.89,0.6,0.72,0.92,0.78
0.83,0.92,0.51,0.65,0.92,0.74
0.89,0.93,0.34,0.5,0.92,0.68
0.94,0.96,0.1,0.19,0.92,0.57
1.0,0.0,0.0,0.0,0.92,0.53
