threshold,precision,recall,f1,auc,accuracy
0.0,0.47,1.0,0.64,0.91,0.47
0.06,0.56,0.99,0.72,0.91,0.63
0.11,0.63,0.99,0.77,0.91,0.72
0.17,0.68,0.98,0.8,0.91,0.77
0.22,0.72,0.96,0.82,0.91,0.8
0.28,0.75,0.96,0.84,0.91,0.83
0.33,0.76,0.95,0.85,0.91,0.84
0.39,0.78,0.93,0.85,0.91,0.84
0.44,0.79,0.91,0.85,0.91,0.84
0.5,0.81,0.88,0.84,0.91,0.84
0.56,0.82,0.84,0.83,0.91,0.84
0.61,0.85,0.79,0.82,0.91,0.84
0.67,0.85,0.74,0.79,0.91,0.82
0.72,0.87,0.67,0.76,0.91,0.8
0.78,0.9,0.52,0.66,0.91,0.74
0.83,0.91,0.35,0.51,0.91,0.68
0.89,0.95,0.19,0.32,0.91,0.61
0.94,0.95,0.07,0.14,0.91,0.56
1.0,0.0,0.0,0.0,0.91,0.53
